degrees,frequency
50,37
51,30
52,30
53,30
54,21
55,31
56,35
57,33
58,17
59,20
60,16
61,25
62,14
63,14
64,16
65,25
66,17
67,21
68,18
69,11
70,18
71,5
72,26
73,7
74,12
75,5
76,11
77,11
78,8
79,8
80,10
81,2
82,9
83,7
84,8
85,12
86,8
87,9
88,10
89,3
90,5
91,4
92,8
93,5
94,9
95,6
96,4
97,6
98,4
99,5
100,2
101,6
102,6
103,3
104,4
105,3
106,3
107,4
108,1
109,6
110,6
111,6
112,4
113,2
114,3
115,4
116,4
117,1
118,2
119,1
120,5
121,2
122,4
123,4
124,5
125,4
126,4
127,6
128,5
129,3
130,1
131,6
132,0
133,3
134,2
135,3
136,7
137,4
138,2
139,0
140,2
141,2
142,1
143,0
144,3
145,1
146,2
147,1
148,2
149,4
150,1
151,2
152,2
153,1
154,2
155,3
156,2
157,1
158,3
159,0
160,2
161,1
162,5
163,1
164,1
165,6
166,4
167,0
168,0
169,2
170,0
171,1
172,0
173,3
174,1
175,2
176,3
177,2
178,2
179,0
180,2
181,0
182,2
183,2
184,1
185,1
186,1
187,1
188,1
189,2
190,1
191,0
192,1
193,3
194,0
195,2
196,2
197,2
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,4
208,0
209,0
210,0
211,1
212,1
213,0
214,2
215,0
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,2
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,2
234,0
235,0
236,1
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,2
266,0
267,0
268,1
269,2
270,0
271,0
272,0
273,0
274,0
275,2
276,0
277,1
278,0
279,1
280,0
281,0
282,0
283,2
284,0
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,1
299,2
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,2
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
