,n,e,P_i,P_r,Days_Taken,survivors,Everyone_Dead,Infection_Type,Graph_Type,intital_number_of_infected,intital_number_of_immune,Successful_infections
13600,3000,14975,0.5,0.6,15,1800,False,ConstantRate,barabasi,1,0,3000
13601,3000,14969,0.5,0.6,16,1840,False,ConstantRate,barabasi,1,0,3000
13602,3000,14970,0.5,0.6,15,1812,False,ConstantRate,barabasi,1,0,3000
13603,3000,14972,0.5,0.6,16,1817,False,ConstantRate,barabasi,1,0,3000
13604,3000,14968,0.5,0.6,15,1765,False,ConstantRate,barabasi,1,0,3000
13605,3000,14970,0.5,0.6,15,1813,False,ConstantRate,barabasi,1,0,3000
13606,3000,14973,0.5,0.6,15,1787,False,ConstantRate,barabasi,1,0,3000
13607,3000,14972,0.5,0.6,16,1797,False,ConstantRate,barabasi,1,0,3000
13608,3000,14976,0.5,0.6,16,1819,False,ConstantRate,barabasi,1,0,3000
13609,3000,14975,0.5,0.6,16,1798,False,ConstantRate,barabasi,1,0,3000
13610,3000,14968,0.5,0.6,16,1835,False,ConstantRate,barabasi,1,0,3000
13611,3000,14975,0.5,0.6,17,1802,False,ConstantRate,barabasi,1,0,3000
13612,3000,14973,0.5,0.6,16,1836,False,ConstantRate,barabasi,1,0,3000
13613,3000,14972,0.5,0.6,16,1825,False,ConstantRate,barabasi,1,0,3000
13614,3000,14970,0.5,0.6,16,1749,False,ConstantRate,barabasi,1,0,3000
13615,3000,14974,0.5,0.6,17,1809,False,ConstantRate,barabasi,1,0,3000
13616,3000,14974,0.5,0.6,16,1836,False,ConstantRate,barabasi,1,0,3000
13617,3000,14966,0.5,0.6,16,1799,False,ConstantRate,barabasi,1,0,3000
13618,3000,14974,0.5,0.6,16,1825,False,ConstantRate,barabasi,1,0,3000
13619,3000,14971,0.5,0.6,16,1769,False,ConstantRate,barabasi,1,0,3000
13620,3000,14973,0.5,0.6,16,1861,False,ConstantRate,barabasi,1,0,3000
13621,3000,14971,0.5,0.6,17,1780,False,ConstantRate,barabasi,1,0,3000
13622,3000,14971,0.5,0.6,16,1804,False,ConstantRate,barabasi,1,0,3000
13623,3000,14973,0.5,0.6,15,1807,False,ConstantRate,barabasi,1,0,3000
13624,3000,14970,0.5,0.6,16,1811,False,ConstantRate,barabasi,1,0,3000
13625,3000,14975,0.5,0.6,18,1789,False,ConstantRate,random,1,0,3000
13626,3000,14969,0.5,0.6,18,1791,False,ConstantRate,random,1,0,3000
13627,3000,14970,0.5,0.6,18,1772,False,ConstantRate,random,1,0,3000
13628,3000,14972,0.5,0.6,19,1797,False,ConstantRate,random,1,0,3000
13629,3000,14968,0.5,0.6,17,1807,False,ConstantRate,random,1,0,3000
13630,3000,14970,0.5,0.6,17,1801,False,ConstantRate,random,1,0,3000
13631,3000,14973,0.5,0.6,18,1803,False,ConstantRate,random,1,0,3000
13632,3000,14972,0.5,0.6,17,1832,False,ConstantRate,random,1,0,3000
13633,3000,14976,0.5,0.6,20,1804,False,ConstantRate,random,1,0,3000
13634,3000,14975,0.5,0.6,17,1777,False,ConstantRate,random,1,0,3000
13635,3000,14968,0.5,0.6,17,1865,False,ConstantRate,random,1,0,3000
13636,3000,14975,0.5,0.6,18,1786,False,ConstantRate,random,1,0,3000
13637,3000,14973,0.5,0.6,16,1817,False,ConstantRate,random,1,0,3000
13638,3000,14972,0.5,0.6,17,1825,False,ConstantRate,random,1,0,3000
13639,3000,14970,0.5,0.6,17,1801,False,ConstantRate,random,1,0,3000
13640,3000,14974,0.5,0.6,19,1891,False,ConstantRate,random,1,0,3000
13641,3000,14974,0.5,0.6,17,1820,False,ConstantRate,random,1,0,3000
13642,3000,14966,0.5,0.6,16,1782,False,ConstantRate,random,1,0,3000
13643,3000,14974,0.5,0.6,17,1806,False,ConstantRate,random,1,0,3000
13644,3000,14971,0.5,0.6,18,1786,False,ConstantRate,random,1,0,3000
13645,3000,14973,0.5,0.6,17,1836,False,ConstantRate,random,1,0,3000
13646,3000,14971,0.5,0.6,19,1823,False,ConstantRate,random,1,0,3000
13647,3000,14971,0.5,0.6,22,1803,False,ConstantRate,random,1,0,3000
13648,3000,14973,0.5,0.6,19,1755,False,ConstantRate,random,1,0,3000
13649,3000,14970,0.5,0.6,16,1801,False,ConstantRate,random,1,0,3000
